interaction_id,user_id,content_id,interaction_type,interaction_date
I000001,U35364,A11755,comment,2024-05-29 00:00:00
I000002,U31139,A03573,comment,2024-05-19 00:00:00
I000003,U03513,A24792,comment,2024-07-20 00:00:00
I000004,U28529,A12081,comment,2024-02-16 00:00:00
I000005,U22119,A14888,like,2024-03-22 00:00:00
I000006,U24575,A07826,comment,2024-02-28 00:00:00
I000007,U04863,A17963,comment,2024-07-09 00:00:00
I000008,U12152,A08630,like,2024-07-30 00:00:00
I000009,U17752,A12675,like,2024-03-28 00:00:00
I000010,U28249,A05760,comment,2024-08-20 00:00:00
I000011,U23056,A05973,like,2024-08-08 00:00:00
I000012,U15964,N12281,like,2024-05-29 00:00:00
I000013,U05914,N01686,save_favorite,2024-08-01 00:00:00
I000014,U25407,A07434,like,2024-06-09 00:00:00
I000015,U07500,N03027,like,2024-05-28 00:00:00
I000016,U31039,A20850,comment,2024-08-07 00:00:00
I000017,U28338,N10101,like,2024-04-05 00:00:00
I000018,U06061,A18957,like,2024-06-26 00:00:00
I000019,U21554,N02012,like,2024-05-29 00:00:00
I000020,U17904,N08761,share,2024-05-30 00:00:00
I000021,U18273,N09465,save_favorite,2024-07-20 00:00:00
I000022,U14254,A17267,like,2024-03-15 00:00:00
I000023,U21699,A20675,like,2024-04-27 00:00:00
I000024,U23217,A19534,like,2024-08-16 00:00:00
I000025,U09758,N11018,share,2024-08-03 00:00:00
I000026,U03535,A03404,comment,2024-08-10 00:00:00
I000027,U20571,A09313,comment,2024-05-20 00:00:00
I000028,U18013,N11070,like,2024-07-04 00:00:00
I000029,U27054,A00516,like,2024-07-15 00:00:00
I000030,U18024,A08706,comment,2024-06-09 00:00:00
I000031,U10421,N06949,save_favorite,2024-08-13 00:00:00
I000032,U25796,A05397,like,2024-07-17 00:00:00
I000033,U21390,N02863,like,2024-07-21 00:00:00
I000034,U06248,N05206,like,2024-07-28 00:00:00
I000035,U05360,N10232,save_favorite,2024-07-06 00:00:00
I000036,U19863,A19088,comment,2024-05-01 00:00:00
I000037,U39371,N06742,like,2024-06-03 00:00:00
I000038,U38502,N14637,like,2024-07-13 00:00:00
I000039,U04713,N04787,like,2024-08-14 00:00:00
I000040,U34804,A04778,comment,2024-08-19 00:00:00
